               Table 40-2 Bit-to-Symbol Mapping (Odd Subsets)
               ==============================================

                        Sdn[6:8]      Sdn[6:8]      Sdn[6:8]      Sdn[6:8]
                        = [001]       = [011]       = [101]       = [111]
                                                                          
Condition   Sdn[5:0]    TAn,TBn,      TAn,TBn,      TAn,TBn,      TAn,TBn,
                        TCn,TDn       TCn,TDn       TCn,TDn       TCn,TDn
  Normal     000000    0, 0, 0,+1    0, 0,+1, 0    0,+1,+1,+1    0,+1, 0, 0
  Normal     000001   -2, 0, 0,+1   -2, 0,+1, 0   -2,+1,+1,+1   -2,+1, 0, 0
  Normal     000010    0,-2, 0,+1    0,-2,+1, 0    0,-1,+1,+1    0,-1, 0, 0
  Normal     000011   -2,-2, 0,+1   -2,-2,+1, 0   -2,-1,+1,+1   -2,-1, 0, 0
  Normal     000100    0, 0,-2,+1    0, 0,-1, 0    0,+1,-1,+1    0,+1,-2, 0
  Normal     000101   -2, 0,-2,+1   -2, 0,-1, 0   -2,+1,-1,+1   -2,+1,-2, 0
  Normal     000110    0,-2,-2,+1    0,-2,-1, 0    0,-1,-1,+1    0,-1,-2, 0
  Normal     000111   -2,-2,-2,+1   -2,-2,-1, 0   -2,-1,-1,+1   -2,-1,-2, 0
  Normal     001000    0, 0, 0,-1    0, 0,+1,-2    0,+1,+1,-1    0,+1, 0,-2
  Normal     001001   -2, 0, 0,-1   -2, 0,+1,-2   -2,+1,+1,-1   -2,+1, 0,-2
  Normal     001010    0,-2, 0,-1    0,-2,+1,-2    0,-1,+1,-1    0,-1, 0,-2
  Normal     001011   -2,-2, 0,-1   -2,-2,+1,-2   -2,-1,+1,-1   -2,-1, 0,-2
  Normal     001100    0, 0,-2,-1    0, 0,-1,-2    0,+1,-1,-1    0,+1,-2,-2
  Normal     001101   -2, 0,-2,-1   -2, 0,-1,-2   -2,+1,-1,-1   -2,+1,-2,-2
  Normal     001110    0,-2,-2,-1    0,-2,-1,-2    0,-1,-1,-1    0,-1,-2,-2
  Normal     001111   -2,-2,-2,-1   -2,-2,-1,-2   -2,-1,-1,-1   -2,-1,-2,-2
  Normal     010000   +1,+1,+1, 0   +1,+1, 0,+1   +1, 0, 0, 0   +1, 0,+1,+1
  Normal     010001   -1,+1,+1, 0   -1,+1, 0,+1   -1, 0, 0, 0   -1, 0,+1,+1
  Normal     010010   +1,-1,+1, 0   +1,-1, 0,+1   +1,-2, 0, 0   +1,-2,+1,+1
  Normal     010011   -1,-1,+1, 0   -1,-1, 0,+1   -1,-2, 0, 0   -1,-2,+1,+1
  Normal     010100   +1,+1,-1, 0   +1,+1,-2,+1   +1, 0,-2, 0   +1, 0,-1,+1
  Normal     010101   -1,+1,-1, 0   -1,+1,-2,+1   -1, 0,-2, 0   -1, 0,-1,+1
  Normal     010110   +1,-1,-1, 0   +1,-1,-2,+1   +1,-2,-2, 0   +1,-2,-1,+1
  Normal     010111   -1,-1,-1, 0   -1,-1,-2,+1   -1,-2,-2, 0   -1,-2,-1,+1
  Normal     011000   +1,+1,+1,-2   +1,+1, 0,-1   +1, 0, 0,-2   +1, 0,+1,-1
  Normal     011001   -1,+1,+1,-2   -1,+1, 0,-1   -1, 0, 0,-2   -1, 0,+1,-1
  Normal     011010   +1,-1,+1,-2   +1,-1, 0,-1   +1,-2, 0,-2   +1,-2,+1,-1
  Normal     011011   -1,-1,+1,-2   -1,-1, 0,-1   -1,-2, 0,-2   -1,-2,+1,-1
  Normal     011100   +1,+1,-1,-2   +1,+1,-2,-1   +1, 0,-2,-2   +1, 0,-1,-1
  Normal     011101   -1,+1,-1,-2   -1,+1,-2,-1   -1, 0,-2,-2   -1, 0,-1,-1
  Normal     011110   +1,-1,-1,-2   +1,-1,-2,-1   +1,-2,-2,-2   +1,-2,-1,-1
  Normal     011111   -1,-1,-1,-2   -1,-1,-2,-1   -1,-2,-2,-2   -1,-2,-1,-1
  Normal     100000   +2, 0, 0,+1   +2, 0,+1, 0   +2,+1,+1,+1   +2,+1, 0, 0
  Normal     100001   +2,-2, 0,+1   +2,-2,+1, 0   +2,-1,+1,+1   +2,-1, 0, 0
  Normal     100010   +2, 0,-2,+1   +2, 0,-1, 0   +2,+1,-1,+1   +2,+1,-2, 0
  Normal     100011   +2,-2,-2,+1   +2,-2,-1, 0   +2,-1,-1,+1   +2,-1,-2, 0
  Normal     100100   +2, 0, 0,-1   +2, 0,+1,-2   +2,+1,+1,-1   +2,+1, 0,-2
